cid,Name,BirthDate,Height,Weight,YearStart,YearEnd,Position,PositionsPlayed,College,GP,MIN,PTS,FGM,FGA,FGPer,X3PMade,X3PA,X3Per,FTM,FTA,FTPer,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs,RandomSort,School_power,Birth_Month
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Kenny Smith,8-Mar-65,75,170,1988,1997,G,1,University of North Carolina,61,35.6,13.8,5.4,11.4,47.7,0.2,0.6,30.8,2.7,3.3,81.9,0.7,1.6,2.3,7.1,1.5,0.1,3,1,0.089975508,Power,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Anthony Cook,19-Mar-67,81,205,1991,1996,F-C,2,University of Arizona,58,19.3,5.3,2,4.9,41.7,0,0.1,0,1.2,2.2,55,2.3,3.3,5.6,0.4,0.6,1.2,0.9,0,0.228014838,Power,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Gerald Henderson,9-Dec-87,77,215,2010,2017,G,1,Duke University,43,8.3,2.6,0.9,2.4,35.6,0.1,0.4,21.1,0.8,1.1,74.5,0.3,0.9,1.3,0.3,0.2,0.2,0.3,1,0.622235915,Power,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,Maurice Taylor,30-Oct-76,81,260,1998,2007,F,1,University of Michigan,71,21.3,11.5,4.5,9.5,47.6,0,0,0,2.4,3.4,70.9,1.7,2.5,4.2,0.7,0.5,0.6,1.5,1,0.706542027,Power,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Jabari Parker,15-Mar-95,80,250,2015,2017,F,1,Duke University,25,29.5,12.3,5.2,10.5,49,0.2,0.6,25,1.8,2.6,69.7,2,3.5,5.5,1.7,1.2,0.2,1.9,0,0.304185982,Power,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Chris Paul,6-May-85,72,175,2006,2018,G,1,Wake Forest University,78,36,16.1,5.2,12.1,43,0.6,2.3,28.2,5.1,6,84.7,0.8,4.3,5.1,7.8,2.2,0.1,2.4,1,0.12744445,Power,May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Chris Smith,13-Oct-87,74,200,2014,2014,G,1,University of Louisville,80,15.8,4.3,1.6,3.6,43.3,0,0.2,14.3,1.2,1.5,79.2,0.4,0.8,1.2,2.5,0.6,0.2,0.8,0,0.147001623,Power,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Antonio Daniels,19-Mar-75,76,195,1998,2011,G,1,Bowling Green State University,74,26.4,7.8,3.1,7.4,41.6,0.1,0.7,21.2,1.5,2.3,65.9,0.3,1.6,1.9,4.5,0.7,0.1,2.2,1,0.676725482,scrappy,Mar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,Roy Hibbert,11-Dec-86,86,270,2009,2017,C,1,Georgetown University,70,14.4,7.1,2.8,6,47.1,0,0,0,1.4,2.1,66.7,1.6,1.8,3.5,0.7,0.3,1.1,0.8,1,0.038138423,Power,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Robin Lopez,1-Apr-88,84,255,2009,2018,C,1,Stanford University,60,10.2,3.1,1.2,2.3,51.8,0,0,0,0.8,1.1,69.1,0.9,1.1,2,0.1,0.2,0.7,0.5,1,0.116886182,Power,Apr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,P.J. Hairston,24-Dec-92,78,230,2015,2016,G-F,2,University of North Carolina,45,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.3,0.5,0,0.21234409,Power,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
